Site,Date,Stage,MeanCount
Coeburn,4/28/1993,adult,0
Coeburn,4/28/1993,egg,0
Coeburn,5/20/1993,adult,0.23
Coeburn,5/20/1993,egg,8.27
Coeburn,6/10/1993,adult,0
Coeburn,6/10/1993,egg,0.03
Coeburn,7/8/1993,adult,0
Coeburn,7/8/1993,egg,0
Coeburn,5/12/1994,adult,0.17
Coeburn,5/12/1994,egg,5.53
Coeburn,6/23/1994,adult,0
Coeburn,6/23/1994,egg,0
Coeburn,5/5/1995,adult,0.1
Coeburn,5/5/1995,egg,11.67
Coeburn,5/18/1995,adult,0
Coeburn,5/18/1995,egg,7.79
Coeburn,6/1/1995,adult,0
Coeburn,6/1/1995,egg,0.14
Coeburn,6/15/1995,adult,0
Coeburn,6/15/1995,egg,0
