day,site,lat,lon,ndiap,nrep,group
15:10,Big Bend State Park,35.105465,-114.647892,0,40,1
13:50,Big Bend State Park,35.105465,-114.647892,19,21,1
14:30,Big Bend State Park,35.105465,-114.647892,0,40,1
12:30,Big Bend State Park,35.105465,-114.647892,40,0,1
13:10,Big Bend State Park,35.105465,-114.647892,24,6,1
13:10,Big Bend State Park,35.105465,-114.647892,25,5,2
13:10,Big Bend State Park,35.105465,-114.647892,26,4,3
15:10,Delta,39.143865,-112.957605,0,41,1
13:50,Delta,39.143865,-112.957605,40,0,1
14:30,Delta,39.143865,-112.957605,10,30,1
12:30,Delta,39.143865,-112.957605,40,0,1
13:10,Delta,39.143865,-112.957605,30,0,1
13:10,Delta,39.143865,-112.957605,30,0,2
13:10,Delta,39.143865,-112.957605,29,1,3
15:10,Gold Butte,36.733571,-114.218824,0,40,1
13:50,Gold Butte,36.733571,-114.218824,32,8,1
14:30,Gold Butte,36.733571,-114.218824,0,40,1
12:30,Gold Butte,36.733571,-114.218824,40,0,1
13:10,Gold Butte,36.733571,-114.218824,30,0,1
13:10,Gold Butte,36.733571,-114.218824,30,0,2
13:10,Gold Butte,36.733571,-114.218824,30,0,3
15:10,Lovelock,40.043876,-118.595045,0,40,1
13:50,Lovelock,40.043876,-118.595045,38,2,1
14:30,Lovelock,40.043876,-118.595045,6,34,1
12:30,Lovelock,40.043876,-118.595045,40,0,1
13:10,Lovelock,40.043876,-118.595045,30,0,1
13:10,Lovelock,40.043876,-118.595045,30,0,2
13:10,Lovelock,40.043876,-118.595045,30,0,3
13:10,Parker,34.160184,-114.303191,8,22,1
13:10,Parker,34.160184,-114.303191,5,25,2
13:10,Parker,34.160184,-114.303191,12,18,3
13:10,St. George,37.086471,-113.567291,30,0,1
13:10,St. George,37.086471,-113.567291,30,0,2
13:10,St. George,37.086471,-113.567291,29,1,3
13:10,Topock Marsh,34.764898,-114.538707,14,16,1
13:10,Topock Marsh,34.764898,-114.538707,6,24,2
13:10,Topock Marsh,34.764898,-114.538707,11,19,3
13:50,Topock Marsh,34.764898,-114.538707,0,40,1
14:30,Topock Marsh,34.764898,-114.538707,0,40,1
15:10,Topock Marsh,34.764898,-114.538707,0,40,1
12:30,Topock Marsh,34.764898,-114.538707,22,18,1
