ID,x,y
"Corvallis, OR",-123.263,44.564
"Richland, WA",-119.283,46.275
"JB Lewis-McChord, WA",-122.53,47.112
"Palermo, CA",-121.62536,39.426829
"Ephrata, WA",-119.555424,47.318546
"Yakima TC, WA",-120.461073,46.680138
"Camp Rilea, OR",-123.934759,46.122867
"Ft Drum, NY",-75.763566,44.055684
"West Point, NY",-73.96221,41.388456
"Kellogg LTER, MI",-85.40226,42.404749
"The Wilds, OH",-81.733314,39.829447
"Duluth, MN",-92.158597,46.728247
"Coeburn, VA",-82.466417,36.943103
"Mountain Home AFB, ID",-115.865101,43.044083
"Quantico MCB, VA",-77.311254,38.513995
"Hanscom AFB, MA",-71.276231,42.457068
"Ft Bragg, NC",-79.083248,35.173401
"Ogden, UT",-112.052908,41.252509
"Buckley AFB, CO",-104.752266,39.704018
"S Portland, OR",-122.658887,45.470532
"Sutherlin, OR",-123.315854,43.387721
"Bellingham, WA",-122.479482,48.756105
"Winnipeg, MB",-96.7333,50.3
"North Bay, ON",-79.4333,46.35
"Delta, BC",-123.0658,49.12188
"Edmonton, AB",-113.821275,53.422723
"Prospect, OR",-122.496954,42.755024
"McArthur, CA",-121.393407,41.048652
"Grayslake, IL",-88.047322,42.340989
"Cuyahoga NP, OH",-81.572825,41.290825
