"","Site","year_fn1","dd_fn1","lastfdd_fn1","firstfdd_fn1","lastfday_fn1","firstfday_fn1","dd100_fn1","dd497_fn1","dl100_fn1","dl497_fn1","seaslength_fn1","seaslengthdd_fn1","year_fn2","dd_fn2","lastfdd_fn2","firstfdd_fn2","lastfday_fn2","firstfday_fn2","dd100_fn2","dd497_fn2","dl100_fn2","dl497_fn2","seaslength_fn2","seaslengthdd_fn2"
"1","Big Bend, NV",2009,4104.80333333333,73.5723076923077,4042.82857142857,29.0769230769231,350.285714285714,40.2857142857143,105.857142857143,10.8382552943568,13.1738028984671,324.888888888889,3992.93333333333,6.20483682299543,165.214064635349,67.4837396654244,169.747972089717,18.6568197471306,9.80916817165351,8.82690691659801,7.74781075069412,0.280159209661567,0.271854332782279,19.0357850143122,155.81194723127
"2","Blythe, CA",2009,4290.93619047619,57.9254545454545,4250.282,21.2727272727273,348.733333333333,33.6666666666667,97.7142857142857,10.6968889329374,12.8541174397586,325.625,4197.47,6.20483682299543,137.682706992425,69.9357454187251,136.242311615319,16.2178353000079,11.6279630120466,6.27162924074226,7.26734378671367,0.175956790240314,0.251072295847205,11.4260041759388,120.244941919163
"3","Cibola, CA",2009,4294.37333333333,72.4816666666667,4247.61625,20.8333333333333,351.375,30.5238095238095,95.7142857142857,10.6461332274638,12.7709780008481,332,4282.38666666667,6.20483682299543,153.419562322845,99.4994117403046,205.799956680372,19.0516840900396,10.9013432986163,6.01347692786002,7.30166321561641,0.156732519229635,0.24817051728598,22.6053091109146,286.385805572366
"4","Delta, UT",2009,1687.9280952381,149.627619047619,1593.34333333333,126.380952380952,279.142857142857,114.952380952381,176.714285714286,13.6903168579916,15.0296632026095,152.761904761905,1443.71571428571,6.20483682299543,123.719465308376,84.8609348820034,137.583120452086,14.1720717979983,11.9301538727952,10.2492740741781,6.8566964140383,0.395348324856962,0.0453698465392699,19.5369003731522,142.728721131082
"5","Gold Butte, NV",2009,3451.26476190476,77.4166666666667,3421.20619047619,45.6190476190476,335.952380952381,56.8571428571429,123.857142857143,11.3521308660922,13.8736777108835,290.333333333333,3343.78952380952,6.20483682299543,136.009721292967,66.561519088234,152.345136958033,22.3393737389305,13.4293566133162,11.9636353767812,6.93026488877384,0.444012893250115,0.228054487129493,24.4424494135374,173.938407733203
"6","Imperial, AZ",2009,4280.22238095238,96.4216666666667,4268.56,28.5,357.5,29.7619047619048,95.4285714285714,10.6421810803568,12.7551669747198,348,4565.04,6.20483682299543,165.365386308767,99.3738394984649,206.690327107971,20.6082507748717,6.59545297913646,6.00753495124882,7.49380696689892,0.152761806377476,0.252213123050187,NA,NA
"7","Lake Mead, NV",2009,3730.10952380952,50.2277777777778,3698.5975,33.7222222222222,342.8,53.7619047619048,118.47619047619,11.2477270588957,13.6708253200618,309.5,3666.24111111111,6.20483682299543,156.191744611429,41.0708768372798,160.304313691672,18.5053428073705,11.1430884880553,10.7930753814877,7.3866030597227,0.39192007441017,0.253893453283523,16.5573868355948,157.791532684514
"8","Lovell, WY",2009,1166.18285714286,61.7276190476191,1115.59619047619,126,277.190476190476,138.857142857143,196.52380952381,15.0399388163066,15.3978123917541,151.190476190476,1053.86857142857,6.20483682299543,122.560187628073,35.5548986645669,132.448991180612,10.8581766425123,11.4700437994763,11.0828052147717,7.50745661072408,0.389821974768099,0.209010318921394,18.5919849602431,125.480741043624
"9","Lovelock, NV",2009,1526.85428571429,139.748095238095,1426.9319047619,127.857142857143,276.666666666667,115.952380952381,179.714285714286,13.7802103553718,15.1155202333783,148.809523809524,1287.18380952381,6.20483682299543,88.2022400266245,57.981750544378,103.361128700254,13.2638068226498,11.2353608457109,10.7213627420967,6.40423966714908,0.430506459912645,0.0521573160876146,17.6028947835833,124.80812479467
"10","Princess, NV",2009,4115.5019047619,62.2254545454545,4036.15083333333,26.7272727272727,349.166666666667,41.5238095238095,106.333333333333,10.8687255838642,13.1978917927296,326,4008.964,6.20483682299543,149.114901858233,63.7730926588379,152.391859032044,18.2158771904672,9.40824912059367,8.8747904066465,7.31664768410598,0.286765524130749,0.257231355172365,16.9263108798108,169.063316925938
"11","St. George, UT",2009,2853.75714285714,71.9157142857143,2820.71285714286,63.6666666666667,323.380952380952,73.7142857142857,139.380952380952,11.9937806722198,14.3519637507514,259.714285714286,2748.79714285714,6.20483682299543,154.935109776411,50.0498034533032,160.031404110033,14.8739145262212,9.2653990225796,9.59240771205466,7.83885317170943,0.378787741209737,0.189522284523552,17.3468811523653,170.344081321978
"12","Topock Marsh, AZ",2009,4188.3619047619,84.8308333333333,4133.452,30.6666666666667,347.866666666667,37.3333333333333,102.714285714286,10.7611372187231,13.053453263634,320.777777777778,4079.98444444444,6.20483682299543,168.112326960846,75.6337671652421,167.36951374557,18.6807306326518,12.4491346036965,7.84431853849226,6.86398468196759,0.236469271516467,0.241099919493211,18.5187592576945,163.983773214845
